Disease,Description
Molar pregnancy,A molar pregnancy is a rare complication of pregnancy. It involves unusual growth of cells called trophoblasts. These cells typically become the organ that feeds a growing fetus. That organ also is known as the placenta.
Moles,"Moles are usually harmless. They may contain hairs or become raised or wrinkled. Talk to your doctor about any change in the color or size of a mole or if itching, pain, bleeding or inflammation develops."
Mood disorders,"If you have a mood disorder, your general emotional state or mood is distorted or inconsistent with your circumstances and interferes with your ability to function. You may be extremely sad, empty or irritable (depressed), or you may have periods of depression alternating with being excessively happy (mania)."
Morning sickness,"Morning sickness is feeling like throwing up, also called nausea, and throwing up, also called vomiting, that occurs during pregnancy. Despite its name, morning sickness can strike at any time of the day or night."
Morton's neuroma,"Morton's neuroma involves a thickening of the tissue around one of the nerves leading to your toes. This can cause a sharp, burning pain in the ball of your foot. You may have stinging, burning or numbness in the affected toes.
"
Mosquito bites,"Mosquito bites are the itchy bumps that form on the skin after mosquitoes feed on your blood. The bumps usually go away without treatment in a few days. Some mosquito bites may get very swollen, sore and inflamed. This type of reaction, sometimes called skeeter syndrome, is most common in children."
Movement disorders,The term movement disorders refers to a group of nervous system (neurological) conditions that cause either increased movements or reduced or slow movements. These movements may be voluntary or involuntary.
Moyamoya disease,"In moyamoya disease, arteries to your brain become narrow and may even close, leading to reduced delivery of oxygen-rich blood to your brain. This lack of blood flow to the brain can cause a stroke and other symptoms."
Multiple sclerosis,"Learn more from neurologist Oliver Tobin, M.B., B.Ch., B.A.O., Ph.D."
Multiple system atrophy (MSA),"Multiple system atrophy (MSA) is a rare, degenerative neurological disorder affecting your body's involuntary (autonomic) functions, including blood pressure, and motor control."
"Multiple endocrine neoplasia, type 1 (MEN 1)","Multiple endocrine neoplasia, type 1 (MEN 1), sometimes called Wermer's syndrome, is a rare disorder that causes tumors in the endocrine glands and parts of the small intestine and stomach. In MEN 1, the endocrine glands — usually the parathyroids, pancreas and pituitary — grow tumors and release excessive amounts of hormones that can lead to disease. However, the tumors are usually noncancerous (benign)."
Muscle strains,"A muscle strain is an injury to a muscle or a tendon — the fibrous tissue that connects muscles to bones. Minor injuries may only overstretch a muscle or tendon, while more severe injuries may involve partial or complete tears in these tissues."
Myelodysplastic syndromes,Myelodysplastic syndromes are a group of disorders caused by blood cells that are poorly formed or don't work properly. Myelodysplastic syndromes result from something amiss in the spongy material inside your bones where blood cells are made (bone marrow).
Myocarditis,Myocarditis is inflammation of the heart muscle. This illustration shows a typical heart muscle compared to damaged heart muscle due to inflammation.
Myoclonus,"Myoclonus refers to a quick jerking movement that you can't control. Hiccups are a form of myoclonus, as are the sudden jerks or ""sleep starts"" that you may feel just before falling asleep. These forms of myoclonus occur in healthy people and usually aren't serious."
Myofascial pain syndrome,"Myofascial pain syndrome is a chronic pain disorder. In this condition, pressure on sensitive points in your muscles (trigger points) causes pain in the muscle and sometimes in seemingly unrelated parts of your body. This is called referred pain."
Nearsightedness,"With typical vision, an image is sharply focused onto the retina. In nearsightedness (myopia), the point of focus is in front of the retina, making distant objects appear blurry."
Myxofibrosarcoma,
Narcissistic personality disorder,"Narcissistic personality disorder is a mental health condition in which people have an unreasonably high sense of their own importance. They need and seek too much attention and want people to admire them. People with this disorder may lack the ability to understand or care about the feelings of others. But behind this mask of extreme confidence, they are not sure of their self-worth and are easily upset by the slightest criticism."
Nasal and paranasal tumors,Nasal and paranasal tumors are abnormal growths that begin in and around the passageway within your nose (nasal cavity). Nasal tumors begin in the nasal cavity. Paranasal tumors begin in air-filled chambers around the nose called the paranasal sinuses.
Nasal polyps,"Nasal polyps are soft growths on the lining of the nose or the spaces inside the nose, known as sinuses. Nasal polyps aren't cancer. Nasal polyps often occur in groups, like grapes on a stem."
Neck pain,Neck pain is common. Poor posture — whether from leaning over a computer or hunching over a workbench — strains neck muscles. Osteoarthritis also is a common cause of neck pain.
Nephrogenic systemic fibrosis,"Nephrogenic systemic fibrosis is a rare disease that occurs mainly in people with advanced kidney failure with or without dialysis. Nephrogenic systemic fibrosis may resemble skin diseases, such as scleroderma and scleromyxedema, with thickening and darkening developing on large areas of the skin."
Postherpetic neuralgia,Postherpetic neuralgia (post-hur-PET-ik noo-RAL-juh) is the most common complication of shingles. It causes a burning pain in nerves and skin. The pain lasts long after the rash and blisters of shingles go away.
Trigeminal neuralgia,"Trigeminal neuralgia is a condition that causes painful sensations similar to an electric shock on one side of the face. This chronic pain condition affects the trigeminal nerve, which carries sensation from your face to your brain. If you have trigeminal neuralgia, even mild stimulation of your face — such as from brushing your teeth or putting on makeup — may trigger a jolt of excruciating pain."
