,Disease,combined_symptoms
759,Vasovagal syncope,pale skinlightheadednesstunnel vision your field narrow that you see only what front younauseafeeling warma cold clammy sweatblurred visionbefore faint due vasovagal syncope may experience some the follow
760,Ventricular tachycardia,chest pain angina dizzinesspounding heartbeat palpitation lightheadednessshortness breathwhen the heart beat too fast may not pump enough blood rest body organ and tissue get oxygen sign symptom that occur during episode ventricular tachycardia be due lack oxygen include
761,Vertebral tumor,pain the site tumor due growthback pain often radiate other part your bodyback pain that bad nightloss sensation muscle weakness especially arm legsdifficulty walk sometimes lead fallsfeeling less sensitive cold heat and painloss bowel bladder functionparalysis which may mild severe can strike different area throughout bodyvertebral tumor cause sign symptom grow the affect spinal cord nerve root blood vessel bone spine vertebral symptom include
762,Vesicoureteral reflux,strong persistent urge urinatea burning sensation when urinatingthe need pas small amount urine frequentlycloudy urinefeverpain your side flank abdomenurinary tract infection commonly occur people with vesicoureteral reflux urinary infection uti doesn always cause noticeable sign and symptom though most have some
763,Viral hemorrhagic fevers,feverfatigue weakness general feel be unwelldizzinessmuscle bone joint achesnausea and vomitingdiarrheasigns symptom viral hemorrhagic fever vary disease general early sign can include
764,Vocal cord paralysis,breathy quality the voicehoarsenessnoisy breathingshortness breathloss vocal pitchchoking cough while swallow food drink salivathe need take frequent breath speakinginability speak loudlyloss your gag reflexineffective coughingfrequent throat clearingvocal cord open when you breathe and then close produce sound vibrate together
765,Vulvar cancer,itch that doesn go awaypain and tendernessbleeding isn from menstruationskin change such color change thickeninga lump wartlike bump open sore ulcer sign symptom vulvar cancer may include
766,Vulvodynia,burningsorenessstingingrawnesspainful intercourse dyspareunia throbbingitchingthe vulva the outer part female genitalia include labium majora minora and clitoris
767,Waldenstrom macroglobulinemia,easy bruisingbleeding from the nose gumsfatigueweight lossnumbness your hand feetfeverheadacheshortness breathchanges visionconfusionwaldenstrom macroglobulinemia slow grow and may not cause sign symptom for many year
768,Wet macular degeneration,visual distortion such straight line seem bent reduce central vision one both eye the need for brighter light when reading do close work difficulty adjust low level enter dimly lit restaurant theater increase blurriness print word difficulty recognize face well define blurry spot blind the field vision wet macular degeneration symptom usually appear suddenly and worsen quickly they may include
769,Whiplash,neck pain and stiffnessworsening with neck movementloss range motion the neckheadaches most often start base skulltenderness shoulder upper back armstingling numbness armsfatiguedizzinesssigns symptom whiplash usually develop within day injury may include
770,Wilson's disease,fatigue lack appetite abdominal paina yellow the skin and white eye jaundice golden brown discoloration kayser fleischer ring fluid buildup leg abdomenproblems with speech swallow physical coordinationuncontrolled movement muscle stiffnesswilson disease present birth but sign symptom don appear until copper build brain liver other organ sign vary depend part your body affected disease they can include
771,Wolff-Parkinson-White (WPW) syndrome,rapid flutter pound heartbeat palpitation chest paindifficulty breathingdizziness lightheadednessfaintingfatigueshortness breathanxietythe most common sign wolff parkinson white wpw syndrome heart rate great than beat minute
